Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Pervis Estupiñán,DF,24-304,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches,d38fdf53
Hernán Galíndez,GK,35-236,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,89c136f6
Piero Hincapié,DF,20-316,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0c7a48f8
Jhegson Méndez,MF,25-209,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.14,0.14,0.00,0.14,Matches,db0c5324
Gonzalo Plata,MFFW,22-020,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,54bcdeb0
Ángelo Preciado,DF,24-276,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.0,0.0,0.2,0.2,0.02,0.18,0.20,0.02,0.20,Matches,eadc8e4f
Félix Torres Caicedo,DF,25-314,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c0a8860f
Moisés Caicedo,MF,21-019,1,1,89,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,16264a81
Michael Estrada,FW,26-228,1,1,89,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,773f5f12
Enner Valencia,FW,33-017,1,1,76,0.8,2,0,1,1,1,0,0,2.37,0.00,2.37,1.18,1.18,1.0,0.2,0.0,0.2,1.14,0.00,1.14,0.21,0.21,Matches,fb485406
Romario Ibarra,MF,28-058,1,1,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.19,0.00,0.19,0.19,0.19,Matches,b494ccf5
Jeremy Sarmiento,FWMF,20-158,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ac0d576d
José Cifuentes,MF,23-254,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8c8c07a7
Alan Franco,MF,24-092,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c76b161b
Kevin Jauch,FW,29-362,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,5.16,0.00,5.16,5.16,5.16,Matches,ea5fe79c
Robert Arboleda,DF,31-030,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,269dbfc6
Xavier Arreaga,DF,28-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,7f2b7640
Alexander Domínguez,GK,35-169,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,84c22fa0
Carlos Gruezo,MF,27-216,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,f2dd9a21
Ángel Mena,FWMF,34-304,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,ea83f5c2
William Pacho,DF,21-036,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,ecbe2839
Diego Palacios,DF,23-132,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,6ec37f2e
Jackson Porozo,DF,22-109,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,7d704e92
Ayrton Preciado,MF,28-127,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,5df18014
Moisés Ramírez,GK,22-073,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,edf42402
Djorkaeff Reasco,MF,23-307,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,5d7b7f0e
Akram Afif,FW,26-003,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,fd53d9e7
Karim Boudiaf,MF,32-066,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a38f33fd
Homam Elamin,DF,23-088,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,a62fa158
Abdelkarim Hassan,DF,29-085,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,7380bccf
Abdulaziz Hatem,MF,32-024,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c5065ef8
Boualem Khoukhi,DF,32-135,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7be5ad52
Bassam Al Rawi,DF,24-340,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,d59acc5e
Ró-Ró,DF,32-107,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,8735fe66
Saad Al Sheeb,GK,32-275,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e00ad66a
Almoez Ali,FW,26-094,1,1,71,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.29,0.00,0.29,0.29,0.29,Matches,bae045a9
Hassan Al-Haydos,MF,31-345,1,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.29,0.29,0.00,0.29,Matches,41bd6c64
Mohammed Waad,MF,23-064,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,94e8df02
Mohammed Muntari,FW,28-336,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Matches,da38f46e
Naif Abdulraheem,MF,21-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,2398ba7d
Ahmed Alaaeldin,FW,29-294,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,74fbbb3c
Ali Assadalla,FWMF,29-306,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,8e74d3ce
Meshaal Barsham,GK,24-280,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,8d3e92e0
Jassem Gaber,DF,20-274,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,af9ef8aa
Salem Al Hajri,MF,26-225,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,d0d5bc2e
Yousof Hassan,GK,26-181,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,a7657823
Musaab Khidir,DF,29-324,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,d9261523
Assim Madibo,DFMF,26-030,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,2b1d2ada
Ismail Mohamad,FW,32-230,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,b554011a
Khalid Muneer,FW,24-270,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,410f8b85
Tarek Salman,DFMF,24-351,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,420f4985
Moustafa Tarek,MF,21-238,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,44a166e1