Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
João Cancelo,pt POR,DF,28-092,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches,bd6351cd
Ederson,br BRA,GK,29-010,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3bb7b8b4
Rodri,es ESP,MF,26-066,3,3,268,3.0,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.3,0.3,0.2,0.5,0.10,0.07,0.17,0.10,0.17,Matches,6434f10d
Kevin De Bruyne,be BEL,MF,31-060,3,3,267,3.0,1,3,1,0,0,0,0,0.34,1.01,1.35,0.34,1.35,0.5,0.5,1.4,1.9,0.17,0.47,0.64,0.17,0.64,Matches,e46012d4
Kyle Walker,eng ENG,DF,32-091,3,3,261,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,86dd77d1
Erling Haaland,no NOR,FW,22-037,3,3,240,2.7,3,1,2,1,1,0,0,1.13,0.37,1.50,0.75,1.13,3.0,2.2,0.4,2.5,1.11,0.13,1.25,0.82,0.95,Matches,1f44ac21
İlkay Gündoğan,de GER,MF,31-307,3,3,231,2.6,2,0,2,0,0,0,0,0.78,0.00,0.78,0.78,0.78,1.0,1.0,0.5,1.5,0.37,0.20,0.57,0.37,0.57,Matches,819b3158
Phil Foden,eng ENG,FW,22-091,3,3,222,2.5,1,1,1,0,0,0,0,0.41,0.41,0.81,0.41,0.81,0.6,0.6,0.7,1.3,0.23,0.28,0.51,0.23,0.51,Matches,ed1e53f3
Nathan Aké,nl NED,DF,27-190,3,3,200,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches,eaeca114
Rúben Dias,pt POR,DF,25-105,3,2,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.12,0.04,0.17,0.12,0.17,Matches,31c69ef1
Jack Grealish,eng ENG,FW,26-351,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.5,0.04,0.32,0.36,0.04,0.36,Matches,b0b4fd3e
Bernardo Silva,pt POR,FWMF,28-017,3,1,129,1.4,1,1,1,0,0,0,0,0.70,0.70,1.40,0.70,1.40,0.6,0.6,0.3,0.9,0.43,0.22,0.65,0.43,0.65,Matches,3eb22ec9
John Stones,eng ENG,DF,28-091,2,1,117,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5eecec3d
Riyad Mahrez,dz ALG,FW,31-187,2,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.09,0.19,0.28,0.09,0.28,Matches,892d5bb1
Julián Álvarez,ar ARG,FW,22-208,2,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.00,0.18,0.18,0.18,Matches,15ab5a2b
Rico Lewis,eng ENG,DF,17-279,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b57e066e
Cole Palmer,eng ENG,MF,20-113,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dc7f8a28
Kalvin Phillips,eng ENG,MF,26-268,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4f565d77
Liam Delap,eng ENG,FW,19-200,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,dd897ee7
Sergio Gómez,es ESP,DFMF,21-357,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,01e5f06e
Luke Mbete-Tatu,eng ENG,DF,18-343,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,387e1d35
Stefan Ortega,de GER,GK,29-294,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,c1242d4e
Josh Wilson-Esbrand,eng ENG,DF,19-244,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,c19a2df1
Squad Total,,,27.7,3,33,270,3.0,8,7,7,1,1,3,0,2.67,2.33,5.00,2.33,4.67,6.6,5.8,4.4,10.2,2.21,1.46,3.67,1.95,3.41,,-9999
Opponent Total,,,27.4,3,33,270,3.0,3,2,3,0,0,7,0,1.00,0.67,1.67,1.00,1.67,2.3,2.3,2.0,4.3,0.76,0.66,1.42,0.76,1.42,,-9999